3.584,3.576,3.565,3.551,3.533,3.512,1.0
3.576,3.565,3.551,3.533,3.512,3.488,1.0
3.565,3.551,3.533,3.512,3.488,3.462,1.0
3.551,3.533,3.512,3.488,3.462,3.434,1.0
3.533,3.512,3.488,3.462,3.434,3.406,1.0
3.512,3.488,3.462,3.434,3.406,3.377,1.0
3.488,3.462,3.434,3.406,3.377,3.348,1.0
3.462,3.434,3.406,3.377,3.348,3.32,1.0
3.434,3.406,3.377,3.348,3.32,3.294,1.0
3.406,3.377,3.348,3.32,3.294,3.268,1.0
3.377,3.348,3.32,3.294,3.268,3.244,1.0
3.348,3.32,3.294,3.268,3.244,3.222,1.0
3.32,3.294,3.268,3.244,3.222,3.201,1.0
3.294,3.268,3.244,3.222,3.201,3.178,1.0
3.268,3.244,3.222,3.201,3.178,3.162,1.0
3.244,3.222,3.201,3.178,3.162,3.146,1.0
3.222,3.201,3.178,3.162,3.146,3.127,1.0
3.201,3.178,3.162,3.146,3.127,3.111,1.0


