1,2,3,4,5,6,Y
2.989,2.943,2.89,2.835,2.772,2.707,1.0
2.943,2.89,2.835,2.772,2.707,2.639,1.0
2.89,2.835,2.772,2.707,2.639,2.566,1.0
2.835,2.772,2.707,2.639,2.566,2.494,1.0
2.772,2.707,2.639,2.566,2.494,2.418,1.0
2.707,2.639,2.566,2.494,2.418,2.342,1.0
2.639,2.566,2.494,2.418,2.342,2.266,1.0
2.566,2.494,2.418,2.342,2.266,2.188,1.0
2.494,2.418,2.342,2.266,2.188,2.138,1.0
2.418,2.342,2.266,2.188,2.138,2.055,1.0
2.342,2.266,2.188,2.138,2.055,1.982,1.0
2.266,2.188,2.138,2.055,1.982,1.915,1.0
2.905,2.893,2.879,2.863,2.84,2.823,1.0
2.893,2.879,2.863,2.84,2.823,2.8,1.0
2.879,2.863,2.84,2.823,2.8,2.774,1.0
2.863,2.84,2.823,2.8,2.774,2.744,1.0
2.84,2.823,2.8,2.774,2.744,2.715,1.0
2.823,2.8,2.774,2.744,2.715,2.678,1.0
2.8,2.774,2.744,2.715,2.678,2.642,1.0
2.774,2.744,2.715,2.678,2.642,2.602,1.0
2.744,2.715,2.678,2.642,2.602,2.559,1.0
2.715,2.678,2.642,2.602,2.559,2.512,1.0
2.678,2.642,2.602,2.559,2.512,2.466,1.0
2.642,2.602,2.559,2.512,2.466,2.415,1.0
2.602,2.559,2.512,2.466,2.415,2.362,1.0
2.559,2.512,2.466,2.415,2.362,2.308,1.0
2.512,2.466,2.415,2.362,2.308,2.253,1.0
2.466,2.415,2.362,2.308,2.253,2.192,1.0
2.415,2.362,2.308,2.253,2.192,2.134,1.0
2.362,2.308,2.253,2.192,2.134,2.086,1.0
2.308,2.253,2.192,2.134,2.086,2.021,1.0
2.877,2.861,2.844,2.825,2.801,2.774,1.0
2.861,2.844,2.825,2.801,2.774,2.745,1.0
2.844,2.825,2.801,2.774,2.745,2.711,1.0
2.825,2.801,2.774,2.745,2.711,2.673,1.0
2.801,2.774,2.745,2.711,2.673,2.635,1.0
2.774,2.745,2.711,2.673,2.635,2.588,1.0
2.745,2.711,2.673,2.635,2.588,2.538,1.0
2.711,2.673,2.635,2.588,2.538,2.483,1.0
2.673,2.635,2.588,2.538,2.483,2.422,1.0
2.635,2.588,2.538,2.483,2.422,2.357,1.0
2.588,2.538,2.483,2.422,2.357,2.283,1.0
2.538,2.483,2.422,2.357,2.283,2.206,1.0
2.483,2.422,2.357,2.283,2.206,2.123,1.0
2.422,2.357,2.283,2.206,2.123,2.035,1.0
2.357,2.283,2.206,2.123,2.035,1.942,1.0
2.283,2.206,2.123,2.035,1.942,1.846,1.0
2.206,2.123,2.035,1.942,1.846,1.753,1.0
2.501,2.488,2.471,2.453,2.433,2.41,1.0
