0.126,0.144,0.171,0.206,0.247,0.296,1.0
0.144,0.171,0.206,0.247,0.296,0.356,1.0
0.171,0.206,0.247,0.296,0.356,0.416,1.0
0.206,0.247,0.296,0.356,0.416,0.482,1.0
0.247,0.296,0.356,0.416,0.482,0.553,1.0
0.296,0.356,0.416,0.482,0.553,0.627,1.0
0.356,0.416,0.482,0.553,0.627,0.7,1.0
0.416,0.482,0.553,0.627,0.7,0.779,1.0
0.482,0.553,0.627,0.7,0.779,0.858,1.0
0.553,0.627,0.7,0.779,0.858,0.94,1.0
0.627,0.7,0.779,0.858,0.94,1.024,1.0
0.7,0.779,0.858,0.94,1.024,1.11,1.0
0.779,0.858,0.94,1.024,1.11,1.198,1.0
0.858,0.94,1.024,1.11,1.198,1.29,1.0
0.94,1.024,1.11,1.198,1.29,1.386,1.0
1.024,1.11,1.198,1.29,1.386,1.483,1.0
1.11,1.198,1.29,1.386,1.483,1.584,1.0
1.198,1.29,1.386,1.483,1.584,1.687,1.0
1.29,1.386,1.483,1.584,1.687,1.794,1.0
1.386,1.483,1.584,1.687,1.794,1.903,1.0
0.269,0.29,0.315,0.348,0.388,0.432,1.0
0.29,0.315,0.348,0.388,0.432,0.481,1.0
0.315,0.348,0.388,0.432,0.481,0.536,1.0
0.348,0.388,0.432,0.481,0.536,0.594,1.0
0.388,0.432,0.481,0.536,0.594,0.659,1.0
0.432,0.481,0.536,0.594,0.659,0.724,1.0
0.481,0.536,0.594,0.659,0.724,0.795,1.0
0.536,0.594,0.659,0.724,0.795,0.872,1.0
0.594,0.659,0.724,0.795,0.872,0.95,1.0
0.659,0.724,0.795,0.872,0.95,1.029,1.0
0.724,0.795,0.872,0.95,1.029,1.115,1.0
0.795,0.872,0.95,1.029,1.115,1.205,1.0
0.872,0.95,1.029,1.115,1.205,1.296,1.0
0.95,1.029,1.115,1.205,1.296,1.384,1.0
1.029,1.115,1.205,1.296,1.384,1.487,1.0
1.115,1.205,1.296,1.384,1.487,1.589,1.0
1.205,1.296,1.384,1.487,1.589,1.693,1.0
1.296,1.384,1.487,1.589,1.693,1.801,1.0
1.384,1.487,1.589,1.693,1.801,1.915,1.0
0.268,0.289,0.321,0.358,0.405,0.461,1.0
0.289,0.321,0.358,0.405,0.461,0.528,1.0
0.321,0.358,0.405,0.461,0.528,0.599,1.0
0.358,0.405,0.461,0.528,0.599,0.683,1.0
0.405,0.461,0.528,0.599,0.683,0.77,1.0
0.461,0.528,0.599,0.683,0.77,0.864,1.0
0.528,0.599,0.683,0.77,0.864,0.963,1.0
0.599,0.683,0.77,0.864,0.963,1.067,1.0
0.683,0.77,0.864,0.963,1.067,1.172,1.0
0.77,0.864,0.963,1.067,1.172,1.281,1.0
0.864,0.963,1.067,1.172,1.281,1.384,1.0
0.504,0.532,0.566,0.608,0.654,0.708,1.0
0.532,0.566,0.608,0.654,0.708,0.769,1.0
0.566,0.608,0.654,0.708,0.769,0.835,1.0
0.608,0.654,0.708,0.769,0.835,0.906,1.0
0.654,0.708,0.769,0.835,0.906,0.985,1.0
0.708,0.769,0.835,0.906,0.985,1.068,1.0
0.769,0.835,0.906,0.985,1.068,1.155,1.0
0.835,0.906,0.985,1.068,1.155,1.245,1.0
0.906,0.985,1.068,1.155,1.245,1.332,1.0
0.506,0.531,0.566,0.604,0.656,0.713,1.0
0.531,0.566,0.604,0.656,0.713,0.775,1.0
0.566,0.604,0.656,0.713,0.775,0.85,1.0
0.604,0.656,0.713,0.775,0.85,0.93,1.0
0.656,0.713,0.775,0.85,0.93,1.021,1.0
0.713,0.775,0.85,0.93,1.021,1.118,1.0
0.775,0.85,0.93,1.021,1.118,1.225,1.0
0.85,0.93,1.021,1.118,1.225,1.334,1.0
0.93,1.021,1.118,1.225,1.334,1.453,1.0
1.021,1.118,1.225,1.334,1.453,1.571,1.0
1.118,1.225,1.334,1.453,1.571,1.693,1.0
1.225,1.334,1.453,1.571,1.693,1.812,1.0
0.829,0.863,0.903,0.949,1.002,1.063,1.0
0.863,0.903,0.949,1.002,1.063,1.126,1.0
0.903,0.949,1.002,1.063,1.126,1.197,1.0
0.949,1.002,1.063,1.126,1.197,1.274,1.0
1.002,1.063,1.126,1.197,1.274,1.357,1.0
1.063,1.126,1.197,1.274,1.357,1.442,1.0
1.126,1.197,1.274,1.357,1.442,1.526,1.0
1.197,1.274,1.357,1.442,1.526,1.594,1.0
0.83,0.864,0.903,0.948,0.996,1.061,1.0
0.864,0.903,0.948,0.996,1.061,1.109,1.0
0.903,0.948,0.996,1.061,1.109,1.158,1.0
0.948,0.996,1.061,1.109,1.158,1.245,1.0
0.996,1.061,1.109,1.158,1.245,1.37,1.0
1.061,1.109,1.158,1.245,1.37,1.461,1.0
1.109,1.158,1.245,1.37,1.461,1.578,1.0
1.158,1.245,1.37,1.461,1.578,1.674,1.0
1.245,1.37,1.461,1.578,1.674,1.784,1.0
1.37,1.461,1.578,1.674,1.784,1.899,1.0
1.461,1.578,1.674,1.784,1.899,2.02,1.0
1.578,1.674,1.784,1.899,2.02,2.14,1.0
1.242,1.279,1.324,1.372,1.426,1.487,1.0
1.279,1.324,1.372,1.426,1.487,1.551,1.0
1.324,1.372,1.426,1.487,1.551,1.621,1.0
1.372,1.426,1.487,1.551,1.621,1.693,1.0
1.426,1.487,1.551,1.621,1.693,1.765,1.0
1.487,1.551,1.621,1.693,1.765,1.843,1.0
1.551,1.621,1.693,1.765,1.843,1.924,1.0
1.24,1.278,1.323,1.372,1.427,1.489,1.0
1.278,1.323,1.372,1.427,1.489,1.556,1.0
1.323,1.372,1.427,1.489,1.556,1.632,1.0
1.372,1.427,1.489,1.556,1.632,1.712,1.0
1.427,1.489,1.556,1.632,1.712,1.802,1.0
1.489,1.556,1.632,1.712,1.802,1.891,1.0
1.556,1.632,1.712,1.802,1.891,1.993,1.0
1.632,1.712,1.802,1.891,1.993,2.095,1.0
1.712,1.802,1.891,1.993,2.095,2.203,1.0
1.802,1.891,1.993,2.095,2.203,2.31,1.0
1.891,1.993,2.095,2.203,2.31,2.424,1.0
1.993,2.095,2.203,2.31,2.424,2.533,1.0
2.095,2.203,2.31,2.424,2.533,2.642,1.0
2.203,2.31,2.424,2.533,2.642,2.743,1.0
2.31,2.424,2.533,2.642,2.743,2.835,1.0
2.424,2.533,2.642,2.743,2.835,2.899,1.0
1.731,1.776,1.828,1.887,1.954,2.029,1.0
1.776,1.828,1.887,1.954,2.029,2.11,1.0
1.828,1.887,1.954,2.029,2.11,2.2,1.0
1.887,1.954,2.029,2.11,2.2,2.3,1.0
1.954,2.029,2.11,2.2,2.3,2.407,1.0
2.029,2.11,2.2,2.3,2.407,2.523,1.0
2.11,2.2,2.3,2.407,2.523,2.65,1.0
2.2,2.3,2.407,2.523,2.65,2.78,1.0
2.3,2.407,2.523,2.65,2.78,2.921,1.0
2.407,2.523,2.65,2.78,2.921,3.064,1.0
1.729,1.775,1.826,1.887,1.955,2.029,1.0
1.775,1.826,1.887,1.955,2.029,2.111,1.0
1.826,1.887,1.955,2.029,2.111,2.201,1.0
1.887,1.955,2.029,2.111,2.201,2.302,1.0
1.955,2.029,2.111,2.201,2.302,2.418,1.0
2.029,2.111,2.201,2.302,2.418,2.544,1.0
2.111,2.201,2.302,2.418,2.544,2.69,1.0
2.201,2.302,2.418,2.544,2.69,2.873,1.0
2.302,2.418,2.544,2.69,2.873,3.125,1.0
2.418,2.544,2.69,2.873,3.125,3.496,1.0
2.294,2.341,2.394,2.456,2.523,2.596,1.0
2.341,2.394,2.456,2.523,2.596,2.677,1.0
2.394,2.456,2.523,2.596,2.677,2.765,1.0
2.456,2.523,2.596,2.677,2.765,2.861,1.0
2.523,2.596,2.677,2.765,2.861,2.961,1.0
2.596,2.677,2.765,2.861,2.961,3.069,1.0
2.677,2.765,2.861,2.961,3.069,3.184,1.0
2.765,2.861,2.961,3.069,3.184,3.306,1.0
2.293,2.341,2.398,2.457,2.523,2.596,1.0
2.341,2.398,2.457,2.523,2.596,2.679,1.0
2.398,2.457,2.523,2.596,2.679,2.765,1.0
2.457,2.523,2.596,2.679,2.765,2.859,1.0
2.523,2.596,2.679,2.765,2.859,2.961,1.0
2.596,2.679,2.765,2.859,2.961,3.068,1.0
2.679,2.765,2.859,2.961,3.068,3.184,1.0
2.765,2.859,2.961,3.068,3.184,3.307,1.0
2.915,2.956,3.004,3.053,3.111,3.171,1.0
2.956,3.004,3.053,3.111,3.171,3.239,1.0
3.004,3.053,3.111,3.171,3.239,3.311,1.0
3.053,3.111,3.171,3.239,3.311,3.391,1.0
3.111,3.171,3.239,3.311,3.391,3.475,1.0
3.171,3.239,3.311,3.391,3.475,3.565,1.0
3.239,3.311,3.391,3.475,3.565,3.661,1.0
3.311,3.391,3.475,3.565,3.661,3.764,1.0
3.391,3.475,3.565,3.661,3.764,3.87,1.0
2.916,2.956,3.004,3.055,3.111,3.173,1.0
2.956,3.004,3.055,3.111,3.173,3.241,1.0
3.635,3.726,3.819,3.921,4.026,4.141,1.0
3.726,3.819,3.921,4.026,4.141,4.265,1.0
3.819,3.921,4.026,4.141,4.265,4.394,1.0
3.921,4.026,4.141,4.265,4.394,4.536,1.0
4.026,4.141,4.265,4.394,4.536,4.681,1.0
4.141,4.265,4.394,4.536,4.681,4.833,1.0
4.265,4.394,4.536,4.681,4.833,4.992,1.0
4.394,4.536,4.681,4.833,4.992,5.159,1.0
4.536,4.681,4.833,4.992,5.159,5.333,1.0
4.681,4.833,4.992,5.159,5.333,5.509,1.0
4.833,4.992,5.159,5.333,5.509,5.701,1.0
4.992,5.159,5.333,5.509,5.701,5.894,1.0
